Total Household Income,Total Food Expenditure,Household Head Age,Alcoholic Beverages Expenditure,Household Head Highest Grade Completed,Education Expenditure,Total Number of Family members,Total number of family members employed
432699,142349,37,910,Engineering and Engineering Trades Programs,35829,4,1
483684,115060,52,0,Elementary Graduate,540,12,2
502030,197166,47,3386,Second Year College,29052,6,2
177826,121915,53,1563,Grade 3,600,9,1
1123306,261231,85,2080,Elementary Graduate,60700,11,6
724332,59530,58,0,High School Graduate,140500,3,0
1920480,191188,46,0,High School Graduate,102000,9,0
216254,45805,69,1930,Engineering and Engineering Trades Programs,0,2,1
372474,90898,44,1940,Grade 2,485,15,8
319782,82743,33,0,High School Graduate,526,7,2
788202,141328,56,0,High School Graduate,0,5,3
450028,88439,42,814,Third Year College,43400,4,0
91829,66177,37,3640,Third Year High School,320,8,1
162305,68365,44,456,First Year College,900,4,2
597012,143974,47,7545,Engineering and Engineering trades Programs,52040,6,1
199700,107020,59,911,Elementary Graduate,585,10,3
886735,152219,46,4364,Third Year High School,970,6,2
305389,100276,53,910,High School Graduate,640,6,1
486170,86164,71,0,Business and Administration Programs,420,4,2
190200,38469,21,0,First Year College,0,1,1
489488,98521,64,1482,Elementary Graduate,0,4,1
265986,94557,46,5449,First Year College,45500,9,2
200330,67116,38,0,High School Graduate,850,3,1
528199,136722,68,0,Second Year High School,0,5,0
797758,206719,50,450,Social and Behavioral Science Programs,81246,7,2
266765,94178,52,95,Third Year College,67798,4,0
296748,201031,61,0,High School Graduate,0,9,3
181103,130473,40,0,High School Graduate,37252,8,1
132800,55626,67,0,High School Graduate,0,1,1
617200,224542,42,16450,Health Programs,20220,5,1
252644,102045,42,2848,Engineering and Engineering trades Programs,16167,5,3
330640,91480,64,1776,High School Graduate,31750,3,0
119068,80497,44,116,Elementary Graduate,120,8,3
58958,125339,53,1190,Transport Services Programs,29200,3,0
128095,85410,33,1055,Grade 5,3668,3,1
1115381,260947,42,0,Business and Administration Programs,167017,6,2
861021,107506,61,0,Teacher Training and Education Sciences Programs,27540,3,1
314123,212882,47,1458,First Year College,29800,10,2
630454,211077,61,14420,Grade 1,0,8,4
191792,68826,55,75,First Year High School,10750,6,1
402995,163061,28,2165,Business and Administration Programs,0,4,2
793195,199906,68,3525,Transport Services Programs,0,4,2
323182,133469,29,3630,First Year College,3000,8,0
104565,78155,50,0,No Grade Completed,60,6,1
198247,66597,80,0,High School Graduate,0,2,1
785163,59409,26,4515,Teacher Training and Education Sciences Programs,0,2,1
250993,75939,38,0,Second Year College,820,3,2
97125,41603,79,0,Elementary Graduate,0,1,0
90980,82335,37,1362,Elementary Graduate,890,6,0
474100,135102,53,0,Post Baccalaureate,63400,4,2
293260,162323,75,210,Elementary Graduate,520,8,1
219243,89346,35,0,Grade 5,700,4,1
275288,104261,29,432,Humanities Programs,0,4,1
818755,160016,54,3198,Business and Administration Programs,0,7,4
424870,110390,55,780,Second Year College,31400,6,1
1123410,111235,69,490,Business and Administration Programs,18000,3,0
891644,122606,77,0,Engineering and Engineering Trades Programs,31140,3,0
506900,62409,71,3120,Engineering and Engineering Trades Programs,0,1,0
933280,116861,81,0,Business and Administration Programs,0,1,0
390252,118898,39,398,First Year College,36150,5,1
261689,72908,53,3720,Second Year High School,0,2,1
160198,48406,52,0,High School Graduate,0,1,0
89300,42896,38,1820,Second Year High School,0,1,1
145516,277153,54,0,Elementary Graduate,555,13,0
228250,180128,78,0,Grade 4,1445,4,0
259500,110519,54,1300,High School Graduate,12100,4,2
263200,197647,65,2250,Second Year High School,14699,8,3
180799,111228,46,400,Business and Administration Programs,19400,5,1
143042,109256,58,1120,Elementary Graduate,1210,8,3
256900,131214,43,570,First Year High School,2420,7,2
365791,146842,49,1260,Second Year College,1287,8,3
135779,81819,59,0,High School Graduate,150,10,1
163269,16818,82,0,Grade 1,0,1,0
243191,105619,53,0,High School Graduate,50,5,1
150672,48064,64,0,Elementary Graduate,310,4,2
117420,81746,40,2630,Grade 4,2067,6,1
507826,123058,62,1540,Third Year College,0,5,2
206700,96422,45,0,Elementary Graduate,640,5,2
134400,56189,39,1710,Computing/Information Technology Programs,0,2,1
162872,70460,65,0,Second Year High School,0,6,0
113363,86751,45,0,Second Year High School,1115,4,1
139872,75696,51,38,Elementary Graduate,1150,6,1
527100,117218,29,0,High School Graduate,12525,5,0
73224,51603,51,0,High School Graduate,24780,5,0
300159,96554,49,0,Business and Administration Programs,15090,3,2
160371,129618,42,290,Engineering and Engineering Trades Programs,59504,4,0
142827,85948,60,1395,Second Year High School,12300,5,1
700280,177852,55,570,Computing/Information Technology Programs,38100,6,3
309630,80087,64,0,Business and Administration Programs,72600,4,2
515686,103190,73,0,Teacher Training and Education Sciences Programs,16099,4,2
382860,100417,54,594,High School Graduate,66900,5,0
127715,57144,66,0,Second Year High School,14848,4,0
294560,152142,46,1320,First Year College,33480,7,3
401552,133649,28,0,Business and Administration Programs,4750,3,2
94600,51884,60,27150,High School Graduate,0,4,3
713140,129015,75,0,Engineering and Engineering Trades Programs,0,4,2
580860,155811,68,0,Third Year College,12550,8,3
265546,35206,76,0,No Grade Completed,0,2,0
948984,160875,59,210,Engineering and Engineering Trades Programs,40850,7,3
347293,129297,88,210,Elementary Graduate,0,8,1
783324,178105,59,0,Third Year College,17314,8,3
241954,136231,48,480,Engineering and Engineering trades Programs,11700,3,0
669592,258332,56,0,First Year College,31760,6,2
273050,156401,56,510,Health Programs,7600,3,1
182006,141394,47,3900,Third Year High School,10548,6,1
141400,97091,49,0,High School Graduate,13184,5,0
106819,97508,47,0,High School Graduate,150,4,1
339207,135611,61,962,First Year High School,0,6,2
86444,26640,72,0,High School Graduate,0,1,0
199480,92078,42,3985,First Year College,0,3,2
178376,99004,41,0,Second Year High School,17820,10,0
178235,88404,63,1590,Grade 5,550,9,1
280868,51718,53,607,Elementary Graduate,29500,2,1
170030,138150,43,75,Third Year High School,11000,8,2
302744,117369,42,930,High School Graduate,15375,8,2
477832,94972,54,660,High School Graduate,0,4,2
675222,183404,28,3960,Transport Services Programs,260,7,1
350376,184320,56,8400,Second Year High School,43680,6,2
240251,148485,40,3967,Third Year High School,1590,7,0
192026,96420,35,570,First Year College,1670,5,1
209158,136050,35,70,Business and Administration Programs,5500,4,2
94551,62769,66,660,High School Graduate,0,4,2
648875,108092,34,610,Teacher Training and Education Sciences Programs,49799,2,0
236290,126549,38,1008,High School Graduate,5450,4,2
168104,87945,45,180,Third Year High School,41650,5,1
142780,114222,38,420,Computing/Information Technology Programs,1550,6,1
318896,169716,34,1690,Teacher Training and Education Sciences Programs,0,3,2
570440,178460,49,1450,Third Year College,21840,7,4
101455,66159,62,90,Social Services Programs,0,2,0
206818,76795,85,240,Business and Administration Programs,0,2,0
189124,99551,47,420,High School Graduate,61795,4,2
68584,43810,20,0,First Year College,0,1,1
212424,86081,52,555,Engineering and Engineering trades Programs,12600,9,4
192746,59474,39,0,Third Year High School,860,6,1
237412,116361,53,0,First Year High School,1750,3,0
479646,88329,52,59,High School Graduate,14380,8,3
84535,41602,73,0,Grade 3,0,2,0
543358,163613,84,2860,Elementary Graduate,0,12,3
134400,78761,35,1360,High School Graduate,465,5,1
59747,361964,23,225,First Year High School,300,1,0
138653,96318,49,66,Elementary Graduate,1080,9,2
527818,198077,26,0,Physical Sciences Programs,0,6,4
775074,150788,59,4032,Teacher Training and Education Sciences Programs,0,11,2
284641,93426,52,0,Personal Services Programs,34719,4,0
966098,184651,55,1040,High School Graduate,50800,5,2
499990,118586,50,1326,High School Graduate,45490,4,1
403142,138685,62,3701,High School Graduate,0,7,4
213991,108836,43,816,Grade 4,2100,12,7
717929,152301,55,960,Transport Services Programs,39800,4,3
205834,59534,69,0,Second Year High School,0,3,1
154455,92120,65,1380,Grade 4,165,7,2
727332,155305,62,4320,Engineering and Engineering Trades Programs,46000,4,1
301193,49994,54,1920,First Year College,0,2,1
299654,86657,51,540,High School Graduate,7120,6,2
123625,73082,24,1555,High School Graduate,0,3,2
187171,89486,53,1177,Business and Administration Programs,20500,4,1
264714,110051,33,588,High School Graduate,0,1,1
345635,541024,53,1092,Elementary Graduate,0,2,1
216848,105428,47,0,Elementary Graduate,8400,8,2
702970,98899,53,398,High School Graduate,33300,4,1
226920,42718,48,975,High School Graduate,0,3,3
272900,132319,36,975,Third Year College,1142,4,2
900398,157989,50,4600,Business and Administration Programs,38700,5,0
362306,137323,41,3315,High School Graduate,0,9,6
99600,78443,36,1820,Grade 4,0,3,1
135690,79060,28,2720,Second Year College,0,4,1
767758,263438,56,0,Third Year High School,48800,12,6
201710,88116,52,0,Second Year High School,36900,3,2
204717,61084,67,0,High School Graduate,0,2,0
933399,133867,72,131,High School Graduate,42500,3,1
302670,119359,66,0,Grade 4,18500,10,1
451814,138190,62,2600,Elementary Graduate,0,7,3
194415,144300,59,2548,Grade 4,11000,8,1
280272,88120,70,0,High School Graduate,942,3,1
284914,56344,81,0,Health Programs,0,2,0
339162,128529,55,225,Grade 5,720,3,1
392428,106426,33,420,First Year College,2150,4,0
856032,241627,52,0,Business and Administration Programs,86500,7,3
667000,187504,50,0,Business and Administration Programs,0,4,3
607058,71069,67,0,Second Year College,18340,2,1
287469,163596,58,1028,Second Year College,898,8,3
136738,91412,75,420,Fourth Year College,9400,3,1
305324,87254,71,0,Business and Administration Programs,100,2,0
336728,108908,66,70,Second Year College,869,5,1
415540,79468,79,1563,High School Graduate,0,3,2
49630,34362,72,140,Second Year High School,0,2,0
404650,116446,62,120,Social and Behavioral Science Programs,0,3,0
438399,201521,66,1520,Engineering and Engineering Trades Programs,30970,8,1
498400,156423,78,0,High School Graduate,56400,3,0
258645,232970,42,10010,High School Graduate,4050,4,1
327275,146421,67,2660,High School Graduate,12370,5,3
94790,90582,48,0,High School Graduate,100,6,3
338304,129505,37,1820,High School Graduate,1060,4,1
297460,119323,58,140,High School Graduate,0,3,0
65154,27007,67,600,Grade 3,0,1,1
62782,44806,45,10,High School Graduate,870,5,1
353679,111755,53,0,First Year High School,25200,5,1
90056,80237,58,500,Grade 2,0,4,1
96800,74992,30,60,Elementary Graduate,0,3,1
346166,139249,70,2400,Grade 4,200,11,3
125638,90189,37,0,High School Graduate,10,8,1
260256,97170,61,1768,High School Graduate,9100,6,1
294725,90429,46,2854,First Year Post Secondary,17950,4,1
224011,54639,70,3716,Elementary Graduate,400,4,0
65308,41943,66,600,Grade 3,0,3,1
145994,73448,26,290,Elementary Graduate,0,6,3
70619,47349,42,780,Elementary Graduate,100,3,1
238789,82950,50,2560,Grade 5,300,8,2
71495,50861,34,0,Grade 4,180,4,1
152389,61324,41,0,Grade 2,490,7,1
157315,77267,63,1980,Grade 4,150,6,2
60183,49143,42,0,Grade 3,580,3,1
641696,173527,28,960,Business and Administration Programs,83833,7,3
490000,146819,51,3825,Engineering and Engineering Trades Programs,47832,4,1
410424,162029,54,2196,Third Year College,15926,9,2
602074,141453,61,0,Journalism and Information Programs,30000,5,2
355686,153928,77,0,Grade 5,8273,7,4
1234412,224018,55,9090,Computing/Information Technology Programs,31000,4,3
195668,84222,69,0,Grade 3,215,4,1
358835,124554,43,3640,Second Year High School,30300,8,3
321010,177727,61,3786,Second Year College,0,6,3
379928,153099,52,1944,Second Year College,1500,5,1
76835,48889,41,2593,High School Graduate,0,1,1
129448,77412,76,0,Grade 3,400,2,0
120480,128748,39,80,Elementary Graduate,3180,6,2
133908,114114,72,3640,Elementary Graduate,13150,6,1
611316,147214,52,2270,Transport Services Programs,35590,9,3
294626,120159,44,0,High School Graduate,39300,3,2
520290,197231,39,1040,Business and Administration Programs,11000,10,4
1010048,198077,35,0,Health Programs,50400,5,2
354798,73396,87,0,High School Graduate,0,2,0
725594,225952,52,0,First Year College,20260,6,3
398000,172181,40,0,Health Programs,21900,3,1
608310,156204,53,510,Engineering and Engineering trades Programs,6300,6,4
341687,171472,46,170,Second Year College,23700,8,2
122658,60340,59,0,Transport Services Programs,0,1,1
672100,147783,51,0,Engineering and Engineering Trades Programs,124040,5,1
364570,227829,45,0,High School Graduate,22820,11,1
278940,134730,58,545,Engineering and Engineering trades Programs,7150,4,3
209594,160462,45,3640,Grade 3,540,11,3
197850,100788,91,0,Grade 5,0,2,0
136370,121670,42,0,Second Year College,42900,8,1
374548,224518,54,0,High School Graduate,27800,7,1
454165,214866,44,1140,"Other Programs in Education at the Third Level, First Stage, of the Type that Leads to an Award not Equivalent to a First University or Baccalaureate Degree",56170,7,2
1344775,371399,65,6791,Third Year High School,25270,13,0
93137,39920,46,0,Second Year High School,180,2,1
335564,224774,55,1530,Business and Administration Programs,43000,8,1
272952,188917,55,85,High School Graduate,55700,3,1
451190,219987,53,1185,Business and Administration Programs,52700,7,0
167370,168172,64,3168,High School Graduate,1670,5,1
114980,85509,35,1305,High School Graduate,885,5,1
198001,62205,72,2080,No Grade Completed,0,3,3
393900,91111,35,26,Computing/Information Technology Programs,825,5,2
141240,54831,56,0,High School Graduate,300,3,0
298798,135556,56,0,Grade 3,0,9,3
172165,38511,64,0,Elementary Graduate,0,1,0
162381,100824,32,0,Elementary Graduate,250,6,0
184140,91950,21,840,Second Year College,1500,3,1
170282,133270,42,480,Second Year High School,1230,9,0
80889,63159,26,876,Third Year High School,520,4,1
125975,67139,30,1250,Second Year High School,110,6,2
437966,200463,42,900,First Year High School,350,7,1
302640,137355,49,1630,High School Graduate,1073,7,4
89722,40564,30,780,First Year High School,286,3,2
265304,137618,55,35,Second Year High School,300,7,1
604075,124347,44,320,Elementary Graduate,690,6,3
174337,70426,44,780,Elementary Graduate,1114,7,0
406480,129004,47,0,High School Graduate,1878,7,2
221085,134192,63,0,First Year High School,18000,5,0
245944,139407,37,220,High School Graduate,520,5,0
670580,129079,49,840,High School Graduate,0,4,3
159010,63511,60,0,Grade 2,200,5,0
266443,46535,35,1782,Second Year College,700,1,1
144430,71713,34,0,Grade 5,0,3,0
171080,95181,32,0,First Year High School,280,5,0
111276,133833,27,0,First Year College,75,6,1
342380,159747,46,90,Transport Services Programs,42800,4,1
539652,113792,62,800,Elementary Graduate,0,5,1
493574,140069,45,495,Computing/Information Technology Programs,20700,8,3
194720,41137,77,0,Grade 3,0,1,0
508117,138134,38,1674,Teacher Training and Education Sciences Programs,9153,5,2
203356,91393,31,2554,Computing/Information Technology Programs,0,4,1
278858,121679,28,1407,High School Graduate,73600,9,2
345000,112718,48,0,Business and Administration Programs,111200,3,0
405840,150848,47,510,Second Year College,0,5,1
133008,74987,55,420,Third Year High School,0,4,3
88416,108366,45,2310,Second Year College,8225,5,0
265600,171220,45,455,Grade 5,49180,5,2
255376,160974,60,3706,Grade 4,48025,5,3
79157,64951,34,225,Elementary Graduate,510,4,0
287218,211603,53,1350,Second Year College,3120,7,2
281481,102820,27,1650,High School Graduate,0,3,2
306860,136661,81,0,Business and Administration Programs,0,2,1
191652,37216,74,0,Teacher Training and Education Sciences Programs,0,2,0
1185985,220393,39,0,Engineering and Engineering Trades Programs,36565,5,2
241308,184968,52,0,Business and Administration Programs,127515,6,1
1026844,160526,47,0,Law Programs,46600,6,3
1257044,239120,59,0,Social and Behavioral Science Programs,0,3,3
325750,122836,55,0,High School Graduate,35500,3,0
414171,111533,46,1010,High School Graduate,5000,5,3
175933,96695,33,1138,High School Graduate,5200,3,1
97671,43677,51,240,High School Graduate,0,2,1
381431,96516,39,0,First Year College,1900,9,2
64102,29526,68,0,Business and Administration Programs,530,3,1
680959,206685,57,0,Elementary Graduate,2300,8,4
124347,35448,67,222,Grade 4,0,7,2
299172,53383,38,260,High School Graduate,20100,10,2
125328,67391,39,702,High School Graduate,1025,5,1
288991,149982,46,480,Elementary Graduate,0,6,2
605151,222607,43,1260,High School Graduate,36250,10,3
146192,82205,68,480,Grade 1,0,3,2
293903,167787,56,13400,Elementary Graduate,700,8,2
281800,137680,52,1440,Elementary Graduate,0,5,2
177896,48037,33,4088,High School Graduate,0,1,1
26908,35984,80,0,Grade 5,0,2,0
342000,107328,29,0,Second Year College,0,1,1
521990,206020,42,735,Elementary Graduate,76972,7,1
120960,94756,54,0,Grade 4,10886,6,2
130390,111930,39,3302,Grade 3,1980,4,2
81730,51956,54,0,Elementary Graduate,545,5,1
133418,95677,44,0,High School Graduate,21650,5,2
209343,78940,39,0,Engineering and Engineering Trades Programs,189,5,1
472138,174830,53,0,High School Graduate,6448,4,0
168372,115172,47,0,Second Year High School,1500,3,0
447084,163770,42,0,First Year College,116350,5,0
286354,93719,51,75,Grade 4,51675,6,3
68510,37347,69,0,Elementary Graduate,0,2,0
363920,86376,52,2730,Elementary Graduate,0,6,5
195680,80794,63,0,High School Graduate,0,4,0
136946,46560,30,0,High School Graduate,969,3,2
657745,253363,49,0,Security Services Programs,68280,4,2
454498,118222,47,0,High School Graduate,14223,6,3
232358,80600,62,0,High School Graduate,42000,7,2
83395,48944,64,0,Grade 4,1100,4,0
301960,103777,50,1950,Second Year College,22150,7,2
67226,49992,34,390,Grade 2,990,5,1
84296,41465,45,387,Grade 5,1396,5,2
2369220,162975,56,0,Law Programs,0,2,1
1265618,134725,55,0,Health Programs,37998,5,2
903820,137845,46,0,High School Graduate,65268,6,2
159014,76374,18,85,First Year College,8950,4,0
227242,89840,45,204,High School Graduate,17370,5,3
754983,146840,62,85,Grade 4,0,7,3
288528,183329,29,1235,High School Graduate,0,7,0
118402,97439,42,408,Grade 5,1225,6,2
1293272,157548,44,0,Engineering and Engineering Trades Programs,90900,6,1
155696,79265,34,975,High School Graduate,675,7,1
728473,155162,47,0,Engineering and Engineering Trades Programs,22800,4,2
651518,138313,59,2100,High School Graduate,0,3,4
268631,136841,54,0,High School Graduate,29724,7,1
272320,173705,48,0,Engineering and Engineering Trades Programs,85250,8,1
367068,155101,50,0,Security Services Programs,118000,5,1
133020,57730,37,0,First Year College,750,2,1
112418,63356,27,1950,Elementary Graduate,0,3,2
280419,114577,65,0,Grade 5,300,8,3
380304,161309,50,150,Elementary Graduate,1195,12,5
125210,79850,40,80,Grade 3,10615,6,0
78011,57007,28,0,First Year High School,600,6,1
139752,45009,32,780,Grade 2,125,4,2
113941,55732,49,0,Grade 4,36,5,1
291509,133279,58,520,Grade 2,28150,9,2
58897,67728,45,0,Grade 5,0,4,0
64570,82101,46,600,High School Graduate,206,7,2
36176,17538,85,0,No Grade Completed,0,1,0
141907,101399,54,3510,High School Graduate,350,7,1
162787,78505,63,0,Grade 3,0,2,1
63505,85064,37,0,High School Graduate,100,4,0
93180,70057,54,1480,Grade 2,210,4,0
143565,92295,48,780,Grade 5,500,8,0
35818,20051,57,190,Engineering and Engineering trades Programs,0,1,0
66891,45047,57,0,Grade 4,379,6,1
507420,165014,64,525,High School Graduate,1542,7,2
276564,82775,46,0,Elementary Graduate,1465,9,3
53377,25529,73,260,Elementary Graduate,0,2,0
475804,479733,67,336,Grade 3,615,9,4
188443,76078,58,260,Grade 4,11492,6,2
37831,22698,73,0,Grade 1,0,2,0
180600,59069,82,240,Grade 4,1026,5,0
197520,44853,60,0,Grade 1,1142,4,1
186768,188979,39,0,Third Year College,810,10,0
586228,205418,56,6462,Elementary Graduate,7000,9,3
134304,113257,58,580,Second Year High School,2790,8,1
253666,84397,48,900,Second Year College,24097,4,1
260062,66778,46,0,High School Graduate,51746,8,2
115085,81328,74,0,Elementary Graduate,375,5,1
56230,21574,76,0,Grade 3,0,1,0
55940,46804,40,504,Second Year High School,560,7,2
177570,111714,44,1350,Grade 5,1400,12,4
127806,74935,68,270,Second Year High School,830,5,0
223527,95017,39,900,High School Graduate,680,4,2
39253,19434,77,0,Grade 4,0,1,1
357976,144920,48,6740,Engineering and Engineering trades Programs,28800,3,2
812827,225427,61,1320,Business and Administration Programs,35900,4,1
135330,40543,45,810,Elementary Graduate,0,4,2
148617,92998,43,0,Second Year College,15574,5,2
1018884,262299,69,2755,Teacher Training and Education Sciences Programs,4000,4,2
455809,76239,75,4936,Elementary Graduate,0,3,0
543190,91779,75,1800,Business and Administration Programs,0,3,0
1868274,242763,59,1860,Business and Administration Programs,11000,5,3
896280,201892,73,2295,Business and Administration Programs,111150,5,0
79880,52705,38,1480,Second Year High School,7445,6,2
1375001,281872,86,1875,Law Programs,6200,7,3
364176,167367,69,2080,Teacher Training and Education Sciences Programs,33800,5,2
31545,33922,72,0,Grade 4,0,3,2
239866,37582,62,1820,Grade 2,0,5,3
439418,82825,55,300,Elementary Graduate,70,7,5
296649,83112,50,995,Elementary Graduate,250,11,3
227066,97979,61,60,Grade 3,0,4,2
192375,83554,80,2340,Grade 4,0,9,3
76176,46489,82,780,Elementary Graduate,0,3,1
63970,58722,62,750,Grade 2,28400,3,0
80482,29781,78,0,Grade 4,0,2,2
149175,48536,68,5822,Grade 5,0,3,1
88448,44504,49,1976,Elementary Graduate,0,2,0
140360,108902,38,0,Second Year High School,970,5,2
120126,44359,57,0,Grade 3,0,2,1
72811,35195,72,1105,Grade 4,0,2,0
45645,28337,85,0,Elementary Graduate,0,3,1
51895,18896,73,1229,High School Graduate,0,1,0
99942,74142,48,60,Third Year High School,8995,10,1
140927,36879,64,1500,Elementary Graduate,570,8,1
73318,40051,47,200,Elementary Graduate,0,4,0
87736,93046,37,150,High School Graduate,20705,9,1
71558,50927,38,800,First Year College,190,4,1
25999,22794,74,430,Elementary Graduate,0,2,1
46972,29998,70,820,Elementary Graduate,0,2,0
90885,64437,58,0,Elementary Graduate,250,3,1
110604,65080,59,2930,Elementary Graduate,270,11,2
38362,28665,80,300,Grade 4,0,2,0
39962,30375,63,435,Grade 5,0,3,0
21423,21727,65,0,Grade 6,0,2,0
260462,64042,53,1720,High School Graduate,445,5,1
29903,39272,67,610,Elementary Graduate,0,2,0
219388,103616,46,0,Second Year College,650,4,1
111750,41952,76,728,Grade 2,0,4,2
41628,40830,60,0,Grade 6,0,2,1
48775,24948,61,0,Elementary Graduate,0,2,1
284488,139327,53,1040,Second Year High School,3000,12,4
321763,130463,56,3020,Second Year High School,500,7,3
191945,122077,57,2756,Third Year High School,0,2,1
306636,79554,28,12000,High School Graduate,620,3,2
61638,67653,43,252,First Year High School,600,5,1
94993,59092,33,236,High School Graduate,0,3,1
141785,100987,44,0,Elementary Graduate,21600,3,1
151828,60314,55,790,Second Year College,3565,3,1
288646,113482,43,0,High School Graduate,50000,6,2
321568,125929,55,0,Grade 4,1440,6,3
71314,37068,40,0,Business and Administration Programs,0,2,0
278662,230926,51,1240,Third Year College,1795,10,2
334889,157258,50,1330,Elementary Graduate,3431,10,2
218933,107197,59,0,Third Year College,0,3,0
470201,160017,56,280,Elementary Graduate,45000,6,4
521740,73068,34,240,Teacher Training and Education Sciences Programs,0,2,2
144248,69365,29,0,Second Year College,0,2,1
176552,64265,36,0,Third Year College,3100,2,1
62709,24022,58,1680,Grade 5,0,1,1
85848,42198,21,0,Elementary Graduate,0,2,1
151299,46648,37,540,Engineering and Engineering Trades Programs,0,1,0
1315139,188984,61,0,High School Graduate,1395,7,4
383616,97040,44,3720,High School Graduate,3600,5,0
93986,41309,59,494,Grade 4,60,2,0
127612,37760,26,0,Third Year High School,0,2,1
398030,82384,55,13575,High School Graduate,15280,5,3
200819,86914,58,455,Grade 5,840,9,1
167822,95974,71,5460,High School Graduate,0,6,0
104810,38368,82,0,Grade 3,0,3,1
130095,40847,60,0,Grade 5,50000,3,0
238000,131836,51,7492,Grade 3,420,5,3
350356,126979,54,2080,Grade 3,500,9,2
91072,61257,39,594,First Year High School,585,9,0
283080,151882,53,0,High School Graduate,15500,5,4
341096,146263,35,900,High School Graduate,460,5,3
189750,77159,42,4550,Second Year Post Secondary,680,8,1
201382,91362,44,1950,Grade 4,750,4,1
159088,83306,71,2504,Fourth Year College,100,2,0
403926,146212,46,2660,High School Graduate,1775,6,3
676474,198601,54,0,Engineering and Engineering Trades Programs,53355,8,3
231962,66291,69,0,Teacher Training and Education Sciences Programs,0,2,0
707900,160506,45,0,High School Graduate,13400,8,2
321000,143056,48,245,Engineering and Engineering Trades Programs,38600,5,1
588398,119580,56,450,Business and Administration Programs,0,3,0
368442,105399,56,450,Business and Administration Programs,30650,3,1
289952,72478,37,0,High School Graduate,13900,4,0
373486,125779,80,150,Personal Services Programs,4980,3,0
588601,152737,45,35,Health Programs,77150,7,2
545220,163180,52,537,Grade 6,5200,9,5
228590,102259,38,1800,Grade 4,500,7,1
305706,107619,54,150,Elementary Graduate,2150,5,3
169030,66391,45,2461,Grade 1,1090,5,2
337020,182376,57,375,Elementary Graduate,2150,8,2
182020,75796,48,2925,High School Graduate,735,4,0
120968,59310,69,0,Third Year High School,0,2,0
161241,76576,39,455,High School Graduate,1380,5,2
101760,82305,44,100,Third Year College,600,5,1
554789,96281,73,1485,High School Graduate,0,4,2
1595230,287873,55,3882,Business and Administration Programs,220000,10,2
159990,55707,81,0,Second Year College,0,2,0
116778,59687,48,2725,Grade 5,710,5,3
156226,52437,29,1775,High School Graduate,0,3,1
465126,140160,65,2048,Grade 4,1855,6,1
197180,65447,28,0,High School Graduate,750,3,2
113513,63397,65,0,High School Graduate,0,5,2
201588,82549,48,2490,High School Graduate,12199,5,2
730307,202987,43,0,Engineering and Engineering Trades Programs,23497,7,2
134802,45152,64,0,Elementary Graduate,0,1,0
288968,96973,50,3270,Grade 4,1396,8,1
120891,119305,45,590,High School Graduate,35289,6,1
303368,72531,32,4436,Grade 3,882,3,1
332144,83963,45,1222,High School Graduate,1571,4,1
110738,84845,44,1690,First Year High School,0,6,2
184309,95614,39,0,High School Graduate,2751,4,0
62142,59215,41,0,Elementary Graduate,1203,6,1
285429,98348,70,4446,Grade 5,734,3,1
126340,49252,34,2444,Grade 6,427,3,2
160960,52339,47,0,First Year High School,1849,5,2
151149,140928,30,10140,Second Year High School,1896,6,1
381736,115972,57,728,High School Graduate,1007,5,5
155878,91316,49,598,High School Graduate,31269,5,2
198128,102970,43,0,High School Graduate,5318,9,1
124098,53851,60,2912,No Grade Completed,0,2,0
236920,117648,54,3042,Grade 2,1456,6,1
224200,126542,58,1014,High School Graduate,1054,6,0
184038,85317,43,1820,Second Year College,1600,6,2
118040,54427,54,1182,No Grade Completed,609,4,2
138900,69339,66,675,Grade 4,2789,5,2
208522,110731,38,1005,High School Graduate,1922,4,1
432780,167267,69,2617,Grade 1,150,7,2
192246,149620,55,4524,Grade 5,1790,9,1
620552,204534,45,6410,First Year College,4620,8,5
279060,74214,47,0,Elementary Graduate,736,5,2
485251,111537,48,4247,Elementary Graduate,3860,11,5
212130,73384,78,2695,Grade 1,359,5,1
271231,110875,36,1935,High School Graduate,950,5,2
132878,57908,70,25,High School Graduate,0,4,1
195601,61678,29,1550,Third Year College,0,2,2
135060,56204,26,152,High School Graduate,0,4,1
436076,79178,62,0,Third Year High School,39100,3,1
267230,63514,40,1400,High School Graduate,0,2,2
98940,23647,39,0,High School Graduate,0,1,0
311403,86278,48,1695,High School Graduate,21392,8,1
413207,104536,32,510,Engineering and Engineering Trades Programs,1250,3,1
166504,82045,64,450,Grade 3,550,3,0
1134860,239872,49,2272,Engineering and Engineering Trades Programs,94278,8,2
167568,40498,63,0,Engineering and Engineering trades Programs,0,2,1
128970,43483,82,0,Grade 3,0,5,2
141725,97074,60,0,Second Year High School,0,5,1
60830,57982,52,0,Elementary Graduate,19700,3,0
247749,68096,37,2600,High School Graduate,403,4,1
157415,95002,49,3162,Grade 5,23400,3,0
313970,186310,50,240,Grade 2,1000,5,1
92512,72296,41,750,Elementary Graduate,0,3,0
148467,111195,46,0,Elementary Graduate,1644,5,2
80000,71325,26,0,High School Graduate,1300,3,0
75185,51843,50,1950,Elementary Graduate,0,1,0
101316,142866,79,0,Grade 4,912,6,0
98210,82375,49,450,Elementary Graduate,13800,5,1
46050,43088,66,3360,Grade 1,0,2,0
182211,92832,47,1508,Grade 2,860,8,0
43686,26126,66,0,Elementary Graduate,0,1,0
